year,rank,id,metric_value
2010,1,tt0435761,1066969703
2010,2,tt1014759,1025467110
2010,3,tt0926084,954305868
2010,4,tt1375666,825532764
2010,5,tt0892791,752600867
2010,6,tt1325004,698491347
2010,7,tt1228705,623933331
2010,8,tt0398286,592461732
2010,9,tt1323594,533679475
2010,10,tt0892769,494879471
2010,11,tt0800320,493214993
2010,12,tt0980970,415686217
2010,13,tt1504320,414211549
2010,14,tt1104001,400062763
2010,15,tt1155076,359126022
2010,16,tt0473075,336365676
2010,17,tt0947798,329398046
2010,18,tt1001526,321885765
2010,19,tt0955308,321669741
2010,20,tt0938283,319713881
2010,21,tt0970866,310650585
2010,22,tt1220634,300228084
2010,23,tt1130884,294800000
2010,24,tt0944835,293329073
2010,25,tt1261945,290745055
2010,26,tt1243957,278731369
2010,27,tt1320253,274470394
2010,28,tt1375670,271430189
2010,29,tt1013743,261989769
2010,30,tt1403865,252276927
2010,31,tt1320261,237382724
2010,32,tt0814255,226497209
2010,33,tt1285016,224920315
2010,34,tt0817230,216485654
2010,35,tt0963966,215283742
2010,36,tt1231583,211780824
2010,37,tt0879870,204594016
2010,38,tt1302067,203509374
2010,39,tt1245526,199000000
2010,40,tt1536044,177512032
2010,41,tt0429493,177238796
2010,42,tt1386588,170432927
2010,43,tt0477080,167805466
2010,44,tt1193631,159291809
2010,45,tt1037705,157107755
2010,46,tt0840361,154026136
2010,47,tt1279935,152263880
2010,48,tt1568921,149480483
2010,49,tt1219342,140073390
2010,50,tt1038919,136333522
2010,51,tt1477076,136151680
2010,52,tt1027718,134748021
2010,53,tt1424381,127233108
2010,54,tt1116184,117224271
2010,55,tt1179056,115664037
2010,56,tt0989757,114977104
2010,57,tt1287468,112483764
2010,58,tt0808510,112462508
2010,59,tt1212419,106956330
2010,60,tt1055292,105734416
2010,61,tt1533117,104731450
2010,62,tt0758752,102820008
2010,63,tt1393746,100297064
2010,64,tt1103153,98159963
2010,65,tt1250777,96188903
2010,66,tt0947810,94882889
2010,67,tt1528313,93800000
2010,68,tt0964517,93617009
2010,69,tt1415283,93251121
2010,70,tt1226229,90029656
2010,71,tt1126591,89519773
2010,72,tt1294226,89137047
2010,73,tt0427152,86387857
2010,74,tt1392197,83761844
2010,75,tt1613031,83686340
2010,76,tt0464154,83188165
2010,77,tt0892318,82148538
2010,78,tt1226273,81126522
2010,79,tt1666186,80547866
2010,80,tt1135084,80205382
2010,81,tt1212436,77477008
2010,82,tt1196141,76196538
2010,83,tt1282140,75026327
2010,84,tt1230204,71594792
